Language,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
English,804694000,845083000,873933000,906628000,941248000,981637000,1016256000,1048951000,1113664000,1276282000,1463216000
Mandarin Chinese,871490000,901668000,923224000,947653000,973520000,1003698000,1029565000,1053994000,1082884000,1120342000,1178747000
Hindi,470644000,488508000,501268000,515729000,531040000,548904000,564216000,578677000,599765000,638737000,622795000
Spanish,451237000,461488000,468810000,477108000,485895000,496146000,504933000,513231000,523614000,539136000,579661000
French,211023000,219552000,225644000,232548000,239858000,248387000,255697000,262601000,270234000,278865000,380975000
Modern Arabic,185179000,196589000,204315000,213072000,222343000,233160000,242431000,252188000,261787000,276002000,271997000
Bengali,203292000,210460000,214565000,219218000,224144590,229891000,234818000,243355000,259456000,264912000,273175000
Russian,203663000,210153000,214022000,218406000,223049000,228465000,233107000,239446000,250764000,259540000,248413000
Portuguese,157714933,167142000,173877000,181509000,189590000,199018000,207099000,214731000,227193000,252922000,276175000
Indonesian,133481000,141861000,147539000,153974000,160788000,168737000,175551000,181986000,189224000,197775000,200103000
Urdu,117437000,124211000,128808000,134017000,139533000,145968000,151483000,156692000,172684000,221109000,233199000
Japanese,103294000,106509000,108683000,111148000,113757000,116801000,119411000,121875000,126281000,129022000,120111000
German,88609000,94205000,97998000,102296000,106847000,112156000,116707000,121005000,124940000,133806000,126155000